Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Brenden Aaronson,us USA,"LT,AT",Union Berlin,22,30,14,2,2,0,0,3,1,2.0,1.9,37,56,91
Paxten Aaronson,us USA,LT,Eint Frankfurt,19,7,1,0,1,0,0,0,0,0.1,0.1,2,5,7
Junior Adamu,at AUT,"AT,LT",Freiburg,22,15,0,0,0,0,0,0,0,0.1,0.1,1,1,5
Sargis Adamyan,am ARM,"AT,LT",Köln,30,20,8,1,2,0,0,2,0,4.1,2.0,15,18,42
Karim Adeyemi,de GER,"AT,LT",Dortmund,21,21,10,3,1,0,0,6,1,3.5,2.0,52,26,96
Amine Adli,ma MAR,"LT,AT",Leverkusen,23,23,8,4,6,0,0,5,0,3.3,2.3,32,39,131
Felix Agu,de GER,"ZG,LT",Werder Bremen,23,24,19,0,0,0,0,2,0,0.9,0.6,32,32,90
Ludovic Ajorque,fr FRA,AT,Mainz 05,29,26,15,2,0,0,2,4,0,5.3,1.0,5,21,88
Kevin Akpoguma,ng NGA,ZG,Hoffenheim,28,17,11,0,0,0,0,7,0,0.3,0.3,10,55,9
Faride Alidou,de GER,"AT,LT",Köln,22,26,14,4,0,0,0,4,0,3.0,0.6,51,33,95
Skelly Alvero,fr FRA,LT,Werder Bremen,21,6,1,1,0,0,0,1,0,0.3,0.0,1,9,6
Nadiem Amiri,de GER,LT,Mainz 05,26,15,15,1,4,0,1,5,0,2.2,4.3,16,88,22
Nadiem Amiri,de GER,LT,Leverkusen,26,8,1,0,0,0,0,0,0,0.1,0.0,5,6,6
Kofi Amoako,de GER,LT,Wolfsburg,18,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Robert Andrich,de GER,"LT,ZG",Leverkusen,28,28,18,4,2,0,0,4,0,1.7,1.8,20,97,14
Waldemar Anton,de GER,ZG,Stuttgart,27,33,32,0,3,0,0,7,0,1.7,1.0,38,172,15
Christopher Antwi-Adjei,gh GHA,"AT,LT",Bochum,29,25,11,2,2,0,0,5,0,2.2,3.5,50,28,138
Asaf Arania,il ISR,LT,Darmstadt 98,17,1,0,0,0,0,0,0,0,0.0,0.0,0,0,2
Maximilian Arnold,de GER,LT,Wolfsburg,29,30,27,2,1,0,0,9,0,1.0,3.9,20,143,19
Arthur,br BRA,ZG,Leverkusen,20,4,2,0,2,0,0,0,0,0.1,0.3,8,7,28
Takuma Asano,jp JPN,"AT,LT",Bochum,28,29,26,6,1,0,0,2,0,7.9,1.3,56,32,167
Jonathan Asp Jensen,dk DEN,AT,Bayern Munich,17,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Noah Atubolu,de GER,G,Freiburg,21,34,34,0,0,0,0,0,0,0.0,0.0,0,1,0
Matthias Bader,de GER,"ZG,LT",Darmstadt 98,26,24,21,1,2,0,0,1,0,0.7,2.3,38,67,66
Ridle Baku,de GER,"ZG,LT",Wolfsburg,25,33,22,1,0,0,0,4,0,1.8,3.0,37,85,130
Samuel Bamba,de GER,AT,Dortmund,19,2,0,0,0,0,0,0,0,0.3,0.1,5,2,7
Aymen Barkok,ma MAR,"LT,AT",Mainz 05,25,13,1,1,0,0,1,2,0,1.7,0.3,14,16,33
Leandro Barreiro Martins,lu LUX,LT,Mainz 05,23,31,29,4,1,0,0,8,0,4.5,1.1,22,93,46
Daniel Batz,de GER,G,Mainz 05,32,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0
Maximilian Bauer,de GER,ZG,Augsburg,23,14,9,1,0,0,0,3,0,1.4,0.0,2,25,1
Elias Baum,de GER,"ZG,LT",Eint Frankfurt,17,4,0,0,0,0,0,0,0,0.0,0.0,0,0,2
Oliver Baumann,de GER,G,Hoffenheim,33,34,34,0,1,0,0,1,0,0.0,0.2,0,1,0
Christoph Baumgartner,at AUT,"LT,AT",RB Leipzig,23,32,11,5,1,0,0,3,0,3.7,1.6,36,47,86
Ihlas Bebou,tg TOG,"AT,ZG",Hoffenheim,29,32,16,7,5,0,0,3,0,4.9,2.6,42,38,145
Adrian Beck,de GER,"LT,AT",Heidenheim,26,23,11,1,1,0,0,1,0,1.7,0.8,17,29,43
Sheraldo Becker,sr SUR,"AT,LT",Union Berlin,28,11,7,0,1,0,0,0,0,0.8,1.8,32,20,73
Chris Bedia,ci CIV,"AT,LT",Union Berlin,27,7,0,1,0,0,0,0,0,0.2,0.2,1,1,6
Donny van de Beek,nl NED,"LT,AT",Eint Frankfurt,26,8,4,0,0,0,0,1,0,0.1,0.4,2,10,12
Kevin Behrens,de GER,AT,Wolfsburg,32,13,7,1,1,0,0,1,0,1.6,0.9,7,17,41
Kevin Behrens,de GER,AT,Union Berlin,32,18,14,4,0,0,0,3,0,6.0,0.9,11,45,93
Maximilian Beier,de GER,"AT,LT",Hoffenheim,20,33,29,16,1,0,0,0,0,11.4,2.4,61,30,224
Stefan Bell,de GER,ZG,Mainz 05,31,10,8,0,0,0,0,3,0,0.2,0.1,0,23,2
Ramy Bensebaini,dz ALG,ZG,Dortmund,28,17,11,0,0,0,0,4,1,1.7,0.4,17,75,63
Mergim Berisha,de GER,AT,Hoffenheim,25,6,0,0,0,0,0,0,0,0.5,0.3,2,3,13
Mergim Berisha,de GER,AT,Augsburg,25,2,2,0,0,0,0,0,0,0.2,0.1,3,1,5
Bernardo,br BRA,ZG,Bochum,28,33,33,1,0,0,0,9,0,1.9,0.5,26,127,38
Matúš Bero,sk SVK,"LT,AT",Bochum,27,24,20,1,1,0,0,6,0,2.9,1.3,12,48,71
Jan-Niklas Beste,de GER,"AT,LT",Heidenheim,24,31,31,8,11,0,1,4,0,4.3,5.7,80,57,136
Pep Biel,es ESP,"LT,AT",Augsburg,26,11,0,0,0,0,0,1,0,1.0,0.2,2,16,16
Tom Bischof,de GER,"LT,AT",Hoffenheim,18,13,1,0,2,0,0,0,0,0.4,0.8,2,18,18
Leonardo Bittencourt,de GER,LT,Werder Bremen,29,29,19,1,2,0,0,9,0,2.2,2.9,61,85,74
Hendry Blank,de GER,ZG,Dortmund,18,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0
Janis Blaswich,de GER,G,RB Leipzig,32,21,21,0,0,0,0,0,0,0.0,0.1,0,3,0
Sacha Boey,fr FRA,ZG,Bayern Munich,22,2,1,0,0,0,0,1,0,0.2,0.0,1,5,8
Victor Boniface,ng NGA,AT,Leverkusen,22,23,18,14,8,4,4,2,0,15.4,3.7,50,34,158
Leonardo Bonucci,it ITA,ZG,Union Berlin,36,7,6,1,0,1,1,0,0,0.8,0.3,0,21,1
Yvandro Borges Sanches,lu LUX,"LT,AT",Gladbach,19,3,0,0,0,0,0,0,0,0.0,0.0,1,0,0
Sebastiaan Bornauw,be BEL,ZG,Wolfsburg,24,20,16,0,0,0,0,5,0,0.8,0.4,2,41,2
Rafael Borré,co COL,AT,Werder Bremen,27,19,11,4,0,0,0,0,0,2.4,1.8,16,28,73
Julian Brandt,de GER,"LT,AT",Dortmund,27,32,26,7,11,0,0,2,0,4.4,9.5,74,116,158
Fabian Bredlow,de GER,G,Stuttgart,28,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0
Tim Breithaupt,de GER,LT,Augsburg,21,16,6,0,0,0,0,3,0,0.1,0.1,0,21,2
Maximilian Breunig,de GER,AT,Freiburg,22,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Bennit Bröger,de GER,AT,Wolfsburg,17,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
John Brooks,us USA,ZG,Hoffenheim,30,21,18,2,0,0,0,6,1,2.6,0.1,5,61,1
Moritz Broschinski,de GER,AT,Bochum,22,26,14,2,3,0,0,4,0,2.4,1.8,18,10,92
Alexander Brunst,de GER,G,Darmstadt 98,28,3,3,0,0,0,0,2,0,0.0,0.0,0,0,0
Marius Bülter,de GER,"ZG,AT",Hoffenheim,30,30,15,1,4,0,0,3,1,1.4,3.4,37,60,107
Jonathan Burkardt,de GER,"AT,LT",Mainz 05,23,21,18,8,2,1,1,2,0,6.1,2.1,36,28,101
Oliver Burke,sct SCO,AT,Werder Bremen,26,1,0,0,0,0,0,0,0,0.0,0.0,2,0,1
Marnon Busch,de GER,ZG,Heidenheim,28,16,5,0,0,0,0,1,0,0.1,0.3,15,34,27
Aurélio Buta,pt POR,"ZG,LT",Eint Frankfurt,26,30,20,1,1,0,0,5,0,0.5,0.7,51,90,104
Jamie Bynoe-Gittens,eng ENG,"AT,LT",Dortmund,18,25,14,1,4,0,0,1,0,2.2,2.8,64,26,105
Anthony Caci,fr FRA,ZG,Mainz 05,26,31,29,2,3,0,0,8,0,1.5,2.9,43,144,75
Emre Can,de GER,"LT,ZG",Dortmund,29,25,22,2,2,2,2,5,0,2.2,1.5,35,110,18
Irvin Cardona,fr FRA,"LT,ZG",Augsburg,25,3,0,0,0,0,0,1,0,0.2,0.0,3,2,6
Rasmus Carstensen,dk DEN,"ZG,AT",Köln,22,23,18,0,0,0,0,2,1,0.9,2.6,32,52,89
Fabio Carvalho,pt POR,LT,RB Leipzig,20,9,1,0,0,0,0,0,0,0.2,0.2,8,9,13
Koen Casteels,be BEL,G,Wolfsburg,31,25,25,0,0,0,0,2,0,0.0,0.2,0,1,0
Václav Černý,cz CZE,"AT,LT",Wolfsburg,25,22,12,4,1,0,0,2,0,2.3,0.9,26,37,83
Julian Chabot,de GER,ZG,Köln,25,32,32,0,0,0,0,9,1,1.4,0.4,17,71,8
El Chadaille Bitshiabu,fr FRA,"ZG,LT",RB Leipzig,18,6,0,0,0,0,0,0,0,0.0,0.0,2,1,5
Fares Chaïbi,dz ALG,"LT,AT",Eint Frankfurt,20,28,21,2,4,0,0,2,0,3.1,6.8,53,86,143
Timothy Chandler,us USA,"LT,ZG",Eint Frankfurt,33,6,0,0,1,0,0,0,0,0.1,0.1,1,5,10
Fabio Chiarodia,it ITA,ZG,Gladbach,18,7,1,0,0,0,0,0,0,0.0,0.1,0,4,1
Jacob Christensen,dk DEN,LT,Köln,22,7,2,0,0,0,0,1,0,0.0,0.1,2,12,1
Nnamdi Collins,de GER,ZG,Eint Frankfurt,19,2,1,0,0,0,0,0,0,0.0,0.0,1,13,5
Kingsley Coman,fr FRA,AT,Bayern Munich,27,17,15,3,3,0,0,1,0,2.8,3.8,75,72,210
Bambasé Conté,de GER,"LT,AT",Hoffenheim,20,7,0,0,0,0,0,0,0,0.2,0.0,3,2,8
Danny da Costa,de GER,ZG,Mainz 05,30,19,9,0,1,0,0,1,0,0.3,1.2,22,40,53
Nicolas Cozza,fr FRA,ZG,Wolfsburg,24,6,3,0,0,0,0,1,0,0.0,0.1,5,16,8
Tomáš Čvančara,cz CZE,AT,Gladbach,22,21,7,4,1,1,2,4,0,5.9,0.7,12,13,47
Finn Dahmen,de GER,G,Augsburg,25,31,31,0,0,0,0,4,0,0.0,0.1,0,3,0
Mahmoud Dahoud,de GER,LT,Stuttgart,27,13,1,1,0,0,0,0,0,0.6,0.5,1,19,5
Lukas Daschner,de GER,"LT,AT",Bochum,24,20,3,1,1,0,0,2,0,2.3,1.0,11,17,37
David Datro Fofana,ci CIV,"AT,LT",Union Berlin,20,12,8,1,0,0,0,0,0,2.8,0.3,20,14,66
Alphonso Davies,ca CAN,ZG,Bayern Munich,22,29,24,2,5,0,0,0,0,1.0,2.9,121,117,139
Olivier Deman,be BEL,ZG,Werder Bremen,23,29,14,2,1,0,0,5,0,1.1,0.9,26,40,53
Ermedin Demirović,ba BIH,"AT,LT",Augsburg,25,33,33,15,9,3,4,7,0,13.5,3.9,28,60,167
Sepp van den Berg,nl NED,ZG,Mainz 05,21,33,31,3,0,0,0,9,0,2.7,0.3,7,95,6
Samuele Di Benedetto,de GER,LT,Stuttgart,18,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Justin Diehl,de GER,"AT,LT",Köln,18,7,1,0,0,0,0,0,0,0.2,0.2,6,2,17
Eric Dier,eng ENG,ZG,Bayern Munich,29,15,13,0,0,0,0,1,0,0.7,0.1,8,53,1
Florian Dietz,de GER,"AT,LT",Köln,24,5,0,0,0,0,0,0,0,0.3,0.1,0,0,8
Junior Dina Ebimbe,fr FRA,"LT,ZG",Eint Frankfurt,22,31,25,5,3,0,0,5,0,5.0,2.9,57,79,157
Eren Dinkçi,de GER,"AT,LT",Heidenheim,21,33,33,10,5,0,0,8,0,4.3,3.7,85,89,143
Ritsu Doan,jp JPN,"ZG,LT",Freiburg,25,30,26,7,2,0,0,2,0,5.0,3.1,49,78,139
Danilho Doekhi,nl NED,ZG,Union Berlin,25,24,24,2,0,0,0,2,0,1.2,0.2,7,65,6
Niklas Dorsch,de GER,LT,Augsburg,25,21,16,0,0,0,0,5,0,0.7,0.1,12,47,12
Nikola Dovedan,at AUT,"LT,AT",Heidenheim,29,21,5,3,1,0,0,0,1,1.9,0.6,12,22,25
Damion Downs,de GER,"AT,LT",Köln,19,10,0,2,0,0,0,0,0,1.0,0.0,1,0,5
Dion Drena Beljo,hr CRO,"AT,LT",Augsburg,21,26,3,2,0,0,0,2,0,3.0,0.5,16,20,35
Tim Drexler,de GER,ZG,Hoffenheim,18,8,6,0,0,0,0,1,0,0.0,0.0,6,12,0
Marvin Ducksch,de GER,AT,Werder Bremen,29,33,32,12,9,5,6,9,0,12.8,7.8,17,88,150
Julien Duranville,be BEL,"AT,LT",Dortmund,17,2,0,0,0,0,0,0,0,0.0,0.0,2,0,1
Maximilian Eggestein,de GER,LT,Freiburg,26,33,33,1,2,0,0,6,0,2.4,2.8,42,162,72
Lilian Egloff,de GER,"LT,ZG",Stuttgart,20,5,1,0,0,0,0,1,0,0.2,0.0,2,2,2
Hugo Ekitike,fr FRA,AT,Eint Frankfurt,21,14,7,4,2,0,0,3,0,2.4,1.7,16,9,60
Elif Elmas,mk MKD,"LT,AT",RB Leipzig,23,14,2,0,0,0,0,0,0,0.8,0.1,9,9,18
