Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Patrick van Aanholt,nl NED,ZG,PSV Eindhoven,32,24,9,1,1,0,0,0,0,2.1,2.3,40,65,98
Paxten Aaronson,us USA,LT,Vitesse,19,14,14,4,0,0,0,4,0,5.0,1.7,34,43,61
Jayden Addai,nl NED,AT,AZ Alkmaar,17,8,2,0,0,0,0,1,0,0.2,0.1,11,8,29
Bobby Adekanye,nl NED,AT,Go Ahead Eag,24,28,23,0,5,0,0,4,1,2.6,5.7,67,51,114
Shawn Adewoye,be BEL,ZG,RKC Waalwijk,23,29,26,1,0,0,0,1,1,1.3,0.4,26,97,3
Nikolas Agrafiotis,nl NED,AT,Excelsior,23,18,10,5,2,0,0,0,0,4.0,1.3,7,12,44
Chuba Akpom,eng ENG,"AT,LT",Ajax,27,25,8,11,3,0,0,0,0,9.0,1.9,23,38,74
Hamdi Akujobi,nl NED,"ZG,AT",Almere City,23,23,16,0,2,0,0,4,0,1.0,1.4,29,50,64
Hussein Ali,iq IRQ,"ZG,AT",Heerenveen,21,15,8,0,0,0,0,0,0,0.4,0.7,13,16,34
Jordi Altena,nl NED,LT,Vitesse,19,2,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Jaydon Amauri Banel,nl NED,"AT,LT",Ajax,18,5,1,0,1,0,0,0,0,0.4,0.2,3,1,5
Pelle van Amersfoort,nl NED,AT,Heerenveen,27,31,26,10,1,0,0,3,0,10.1,1.8,23,37,82
Jamal Amofa,nl NED,ZG,Go Ahead Eag,24,22,20,1,0,0,0,7,1,0.3,0.3,25,71,4
Silas Andersen,dk DEN,AT,Utrecht,19,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0
Augustin Anello,be BEL,"AT,LT",Sparta R'dam,21,8,1,0,0,0,0,0,0,0.3,0.1,5,5,23
Joey Antonioli,nl NED,LT,Volendam,19,3,1,0,0,0,0,0,0,0.0,0.0,0,1,5
Carlens Arcus,ht HAI,ZG,Vitesse,27,30,25,0,4,0,0,4,0,0.2,3.2,40,143,103
D'Leanu Arts,nl NED,ZG,NEC Nijmegen,20,3,0,0,0,0,0,1,0,0.0,0.0,0,3,0
Gastón Ávila,ar ARG,ZG,Ajax,21,5,4,0,0,0,0,1,0,0.2,0.6,6,26,4
Marouan Azarkan,nl NED,AT,Utrecht,21,18,9,0,1,0,0,3,0,0.3,1.2,31,45,71
Anouar El Azzouzi,nl NED,LT,Zwolle,22,22,14,0,0,0,0,5,1,0.8,0.7,16,67,12
Julian Baas,nl NED,LT,Excelsior,21,33,33,2,2,1,1,8,0,1.7,3.4,20,95,46
Youri Baas,nl NED,"ZG,AT",NEC Nijmegen,20,27,18,3,3,0,0,4,0,2.1,2.2,38,52,92
Isaac Babadi,nl NED,LT,PSV Eindhoven,18,16,3,1,0,0,0,1,0,1.2,0.2,14,30,18
Mio Backhaus,de GER,G,Volendam,19,33,32,0,0,0,0,3,0,0.0,0.0,0,2,0
Thibo Baeten,be BEL,"AT,LT",Go Ahead Eag,21,26,8,0,2,0,0,3,0,1.1,2.2,19,21,67
Saïd Bakari,km COM,ZG,Sparta R'dam,28,33,32,0,2,0,0,3,1,1.1,2.0,45,93,135
