Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Nabil Aberdin,fr FRA,ZG,Getafe,20,2,2,0,0,0,0,0,0,0.0,0.0,0,7,0
Abner,br BRA,ZG,Betis,23,23,15,0,1,0,0,3,0,0.1,1.0,14,33,58
Abdel Abqar,ma MAR,ZG,Alavés,24,27,27,0,0,0,0,10,0,0.5,0.2,7,49,1
Marcos Acuña,ar ARG,ZG,Sevilla,31,21,18,1,2,0,0,7,0,0.3,1.5,23,59,42
Julen Agirrezabala,es ESP,G,Athletic Club,22,4,2,0,0,0,0,0,0,0.0,0.0,0,0,0
Lucien Agoume,fr FRA,LT,Sevilla,21,12,9,0,0,0,0,3,0,0.9,0.6,7,35,9
Joseph Aidoo,gh GHA,ZG,Celta Vigo,27,6,4,0,0,0,0,0,0,0.1,0.1,2,12,0
Ilias Akhomach,ma MAR,"LT,AT",Villarreal,19,31,17,2,2,0,0,4,0,3.2,2.6,68,45,160
Sergio Akieme,es ESP,ZG,Almería,25,19,19,2,0,0,0,2,0,1.2,2.2,27,28,72
Paul Akouokou,ci CIV,LT,Betis,25,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0
David Alaba,at AUT,ZG,Real Madrid,31,14,14,0,1,0,0,2,0,1.0,0.7,9,51,13
Raúl Albiol,es ESP,ZG,Villarreal,37,26,24,0,1,0,0,6,0,0.4,0.8,8,62,0
Rubén Alcaraz,es ESP,LT,Cádiz,32,36,36,3,1,2,2,14,0,3.3,1.4,27,154,37
Omar Alderete,py PAR,ZG,Getafe,26,31,24,0,1,0,0,8,1,1.2,1.0,23,98,9
Iván Alejo,es ESP,LT,Cádiz,28,30,21,0,2,0,0,17,0,0.5,1.3,48,31,104
Carles Aleñá,es ESP,LT,Getafe,25,29,10,1,1,0,0,6,0,1.2,1.6,12,23,45
Mohamed Ali Cho,fr FRA,"AT,LT",Real Sociedad,19,11,1,0,0,0,0,0,0,0.4,0.1,16,3,19
Tadeo Allende,ar ARG,"LT,AT",Celta Vigo,24,10,2,1,0,0,0,1,0,1.2,0.4,9,7,25
Domingos André Ribeiro Almeida,pt POR,"AT,LT",Valencia,23,18,12,2,1,0,0,0,0,0.6,1.2,24,50,33
Marcos Alonso,es ESP,ZG,Barcelona,32,5,3,0,0,0,0,0,0,0.1,0.5,11,14,33
Adrià Altimira,es ESP,"ZG,LT",Villarreal,22,11,10,0,0,0,0,3,0,0.0,0.1,10,29,15
Sergi Altimira,es ESP,LT,Betis,21,14,6,1,0,0,0,1,0,0.2,0.3,10,31,8
Gastón Álvarez,uy URU,ZG,Getafe,23,34,29,2,0,0,0,7,0,0.7,0.6,11,63,40
Hugo Álvarez,es ESP,"LT,ZG",Celta Vigo,20,12,8,1,1,0,0,1,0,1.0,1.5,36,34,80
Yeray Álvarez,es ESP,ZG,Athletic Club,28,19,14,0,0,0,0,1,1,0.3,0.1,13,55,2
Selim Amallah,ma MAR,"AT,LT",Valencia,26,20,7,0,1,0,0,5,1,0.4,0.3,7,21,36
Amath,sn SEN,"AT,LT",Mallorca,27,15,3,0,0,0,0,2,0,1.6,0.4,19,13,30
Miguel Ángel Rubio,es ESP,ZG,Granada,25,19,17,1,0,0,0,5,0,0.8,0.1,7,27,1
Fabrizio Angileri,ar ARG,"ZG,LT",Getafe,29,11,2,0,0,0,0,2,1,0.0,1.3,2,7,6
Mauro Arambarri,uy URU,LT,Getafe,27,7,3,0,0,0,0,2,0,0.5,0.0,2,20,6
Jon Aramburu,ve VEN,ZG,Real Sociedad,21,11,5,0,0,0,0,3,0,0.1,0.0,6,26,25
Julian Araujo,mx MEX,ZG,Las Palmas,21,25,15,1,0,0,0,5,0,0.7,1.2,23,74,47
Ronald Araújo,uy URU,ZG,Barcelona,24,25,21,1,2,0,0,6,0,2.1,1.4,24,101,11
Adu Ares,es ESP,AT,Athletic Club,21,12,2,0,0,0,0,2,0,0.1,0.0,13,3,39
Jesús Areso,es ESP,ZG,Osasuna,24,37,29,1,6,0,0,3,0,0.2,3.6,78,106,180
Matias Arezo,uy URU,AT,Granada,20,14,3,0,0,0,0,1,0,1.2,0.1,6,5,17
Iñigo Arguibide,es ESP,ZG,Osasuna,18,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
José Arnaiz,es ESP,"AT,LT",Osasuna,28,26,9,2,1,0,0,3,0,1.7,1.8,23,11,85
Sergio Arribas,es ESP,"LT,AT",Almería,21,34,22,9,4,0,0,1,0,8.6,3.7,56,81,94
Kepa Arrizabalaga,es ESP,G,Real Madrid,28,14,13,0,0,0,0,1,0,0.0,0.0,0,0,0
Iago Aspas,es ESP,AT,Celta Vigo,35,35,31,9,10,3,5,6,1,11.5,10.1,84,161,202
Ezequiel Ávila,ar ARG,"AT,LT",Osasuna,29,17,10,1,3,0,0,3,2,2.0,2.3,14,39,75
Ezequiel Ávila,ar ARG,AT,Betis,29,6,4,1,0,0,0,4,1,0.7,0.1,7,6,31
