Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Keyliane Abdallah,fr FRA,AT,Marseille,17,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Yunis Abdelhamid,ma MAR,ZG,Reims,35,31,31,4,0,1,1,5,0,3.4,0.3,36,137,9
Salis Abdul Samed,gh GHA,LT,Lens,23,27,17,0,0,0,0,2,0,0.8,0.5,9,78,20
Laurent Abergel,fr FRA,LT,Lorient,30,33,32,2,1,0,0,4,0,1.1,2.2,38,194,51
Matthis Abline,fr FRA,AT,Nantes,20,22,12,5,0,0,0,1,0,3.8,2.0,28,20,87
Zakaria Aboukhlal,ma MAR,"LT,AT",Toulouse,23,13,9,3,0,1,1,2,0,2.8,0.2,23,20,75
Bénie Adama Traore,ci CIV,"AT,LT",Nantes,20,14,4,0,1,0,0,1,1,0.7,0.9,23,15,45
Akor Adams,ng NGA,AT,Montpellier,23,32,27,8,1,0,0,2,0,12.4,1.9,40,17,127
Nathaniel Adjei,gh GHA,ZG,Lorient,20,15,14,0,0,0,0,2,0,0.4,0.1,10,34,4
Adryelson,br BRA,"ZG,AT",Lyon,25,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Adson,br BRA,"LT,AT",Nantes,22,8,2,0,0,0,0,0,0,0.2,0.1,18,15,19
Emmanuel Agbadou,ci CIV,ZG,Reims,26,32,29,1,1,0,0,1,0,2.4,1.5,42,179,19
Ruben Aguilar,fr FRA,ZG,Lens,30,25,22,1,3,0,0,3,0,1.4,2.9,36,110,162
Tosin Aiyegun,bj BEN,"LT,AT",Lorient,25,19,10,2,0,0,0,0,1,1.8,0.3,17,16,52
Sergio Akieme,es ESP,ZG,Reims,25,13,8,2,0,0,0,2,0,1.4,0.4,20,20,34
Maghnes Akliouche,fr FRA,"LT,AT",Monaco,21,28,18,7,4,0,0,5,0,5.4,3.5,46,93,135
Paul Akouokou,ci CIV,LT,Lyon,25,8,4,0,0,0,0,1,0,0.1,0.0,0,13,2
Aboubacar Ali,fr FRA,"LT,AT",Strasbourg,17,9,1,0,1,0,0,0,0,0.2,0.1,3,3,12
Mohamed Ali Cho,fr FRA,AT,Nice,19,17,11,1,2,0,0,2,0,1.1,2.0,48,25,77
Nabil Alioui,fr FRA,"LT,AT",Le Havre,24,18,12,4,1,0,0,1,0,2.4,2.2,22,43,72
Jim Allevinah,ga GAB,"LT,ZG",Clermont Foot,28,29,22,2,1,0,0,1,0,2.6,1.2,87,52,120
Skelly Alvero,fr FRA,LT,Lyon,21,8,6,1,0,0,0,2,0,0.4,0.0,3,27,13
Papa Amadou Diallo,sn SEN,AT,Metz,19,16,9,2,1,0,0,1,0,2.6,0.9,25,30,65
