Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Max Aarons,eng ENG,ZG,Bournemouth,23,20,13,0,1,0,0,1,0,0.0,0.8,22,43,26
Joshua Acheampong,eng ENG,ZG,Chelsea,17,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Bénie Adama Traore,ci CIV,"AT,LT",Sheffield Utd,20,8,3,0,0,0,0,0,0,0.3,0.5,7,9,14
Tyler Adams,us USA,LT,Bournemouth,24,3,1,0,0,0,0,0,0,0.0,0.1,4,5,1
Tosin Adarabioyo,eng ENG,ZG,Fulham,25,20,18,2,0,0,0,2,0,0.7,0.1,10,62,5
Elijah Adebayo,eng ENG,AT,Luton Town,25,27,16,10,0,0,0,1,0,5.9,0.7,16,23,110
Simon Adingra,ci CIV,AT,Brighton,21,31,25,6,1,0,0,3,0,4.3,3.7,111,50,278
Nayef Aguerd,ma MAR,ZG,West Ham,27,21,21,1,0,0,0,3,1,1.5,0.3,10,68,3
Brandon Aguilera,cr CRC,AT,Nott'ham Forest,20,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Naouirou Ahamada,fr FRA,"LT,AT",Crystal Palace,21,20,0,0,0,0,0,4,1,0.5,0.0,19,25,20
Anel Ahmedhodžić,ba BIH,ZG,Sheffield Utd,24,31,29,2,0,0,0,11,1,3.1,0.8,15,43,21
Ola Aina,ng NGA,ZG,Nott'ham Forest,26,22,20,1,1,0,0,3,0,0.3,0.9,53,68,38
Rayan Aït-Nouri,dz ALG,"ZG,LT",Wolves,22,33,29,2,1,0,0,7,0,3.3,2.4,67,99,99
Kristoffer Ajer,no NOR,ZG,Brentford,25,28,21,2,1,0,0,5,0,1.3,2.3,22,61,31
Manuel Akanji,ch SUI,"ZG,LT",Manchester City,28,30,28,2,0,0,0,4,1,1.9,0.5,46,148,36
Nathan Aké,nl NED,ZG,Manchester City,28,29,24,2,2,0,0,0,0,2.5,1.2,24,116,18
Thiago Alcántara,es ESP,LT,Liverpool,32,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Trent Alexander-Arnold,eng ENG,ZG,Liverpool,24,28,25,3,4,0,0,6,0,2.6,7.2,45,205,97
Alisson,br BRA,G,Liverpool,30,28,28,0,0,0,0,1,0,0.0,0.0,0,5,0
Miguel Almirón,py PAR,AT,Newcastle Utd,29,33,23,3,1,0,0,2,0,4.5,2.6,78,78,162
Edson Álvarez,mx MEX,LT,West Ham,25,31,28,1,1,0,0,11,0,1.3,0.6,20,91,26
Julián Álvarez,ar ARG,"LT,AT",Manchester City,23,36,31,11,8,2,2,2,0,13.0,6.4,64,103,180
Zeki Amdouni,ch SUI,AT,Burnley,22,34,27,5,1,1,1,2,0,5.8,1.4,63,49,93
Sofyan Amrabat,ma MAR,"LT,ZG",Manchester Utd,26,21,10,0,0,0,0,6,0,0.1,0.3,6,66,10
Joachim Andersen,dk DEN,ZG,Crystal Palace,27,38,38,2,3,0,0,7,0,1.7,2.8,21,147,10
Elliot Anderson,sct SCO,"LT,AT",Newcastle Utd,20,21,10,0,2,0,0,3,0,1.6,1.9,37,57,70
Jaidon Anthony,eng ENG,AT,Bournemouth,23,3,2,0,0,0,0,1,0,0.1,0.0,2,8,9
Michail Antonio,jm JAM,AT,West Ham,33,26,21,6,2,0,0,6,0,5.8,0.9,48,22,104
Antony,br BRA,AT,Manchester Utd,23,29,15,1,1,0,0,5,0,3.4,2.8,53,64,149
Oliver Arblaster,eng ENG,LT,Sheffield Utd,19,12,11,0,0,0,0,2,0,0.0,0.7,13,43,4
Cameron Archer,eng ENG,"AT,LT",Sheffield Utd,22,29,21,4,1,0,0,1,0,5.5,2.8,33,15,113
Cameron Archer,eng ENG,LT,Aston Villa,22,1,0,0,0,0,0,1,0,0.0,0.0,1,0,0
Alphonse Areola,fr FRA,G,West Ham,30,31,31,0,0,0,0,1,0,0.0,0.0,0,1,0
Lorenz Assignon,tg TOG,ZG,Burnley,23,15,15,1,2,0,0,5,1,0.4,2.6,38,34,57
Serge Aurier,ci CIV,"ZG,LT",Nott'ham Forest,30,12,10,0,2,0,0,2,0,0.2,0.5,10,47,29
Taiwo Awoniyi,ng NGA,AT,Nott'ham Forest,25,20,12,6,3,0,0,2,0,4.7,1.7,8,14,45
Jordan Ayew,gh GHA,"AT,LT",Crystal Palace,31,35,30,4,7,0,0,9,1,3.9,4.2,74,63,173
Benoît Badiashile,fr FRA,ZG,Chelsea,22,18,15,0,1,0,0,3,0,0.3,1.5,3,46,3
Leon Bailey,jm JAM,"LT,AT",Aston Villa,25,35,22,10,9,0,0,5,0,6.3,9.2,102,82,226
Stefan Bajcetic,es ESP,LT,Liverpool,18,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0
George Baldock,gr GRE,ZG,Sheffield Utd,30,13,11,0,1,0,0,4,0,0.0,0.8,9,31,24
Carlos Baleba,cm CMR,LT,Brighton,19,27,15,0,0,0,0,7,0,0.8,0.3,19,50,9
Fodé Ballo-Touré,sn SEN,"ZG,LT",Fulham,26,6,0,0,0,0,0,1,0,0.0,0.0,5,0,4
Shandon Baptiste,gd GRN,LT,Brentford,25,10,2,1,1,0,0,1,0,0.9,0.2,3,5,1
Valentín Barco,ar ARG,"ZG,AT",Brighton,19,6,3,0,0,0,0,1,0,0.2,0.2,8,14,20
Ross Barkley,eng ENG,LT,Luton Town,29,32,30,5,4,0,0,6,0,4.1,3.7,48,163,39
Harvey Barnes,eng ENG,"AT,LT",Newcastle Utd,25,21,7,5,3,0,0,2,0,3.6,3.2,45,34,79
Chris Basham,eng ENG,"ZG,LT",Sheffield Utd,35,8,3,0,0,0,0,1,0,0.1,0.3,1,7,6
Calvin Bassey,ng NGA,ZG,Fulham,23,29,25,1,0,0,0,6,1,0.3,0.0,15,62,4
Owen Beck,wls WAL,ZG,Liverpool,20,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Donny van de Beek,nl NED,ZG,Manchester Utd,26,1,0,0,0,0,0,0,0,0.0,0.1,0,0,1
Amari'i Bell,jm JAM,ZG,Luton Town,29,21,21,0,0,0,0,0,0,0.3,0.5,32,76,10
Jean-Ricner Bellegarde,fr FRA,"LT,AT",Wolves,25,22,10,2,1,0,0,0,1,1.6,1.0,30,39,49
Anis Ben Slimane,tn TUN,LT,Sheffield Utd,22,15,4,0,0,0,0,2,0,0.8,0.3,3,12,21
Saïd Benrahma,dz ALG,"AT,LT",West Ham,27,13,5,0,1,0,1,1,0,1.8,1.4,28,28,70
Rodrigo Bentancur,uy URU,LT,Tottenham,26,23,13,1,1,0,0,7,0,1.9,0.5,16,72,31
Daniel Bentley,eng ENG,G,Wolves,30,5,3,0,0,0,0,0,0,0.0,0.0,0,0,0
Jóhann Berg Guðmundsson,is ISL,"LT,AT",Burnley,32,26,12,1,3,0,0,2,0,1.9,2.7,13,59,69
Sander Berge,no NOR,LT,Burnley,25,37,34,1,2,0,0,10,1,1.9,2.4,64,164,29
Luke Berry,eng ENG,"LT,ZG",Luton Town,31,17,2,2,1,0,0,1,0,1.0,0.3,1,8,7
Beto,gw GNB,AT,Everton,25,30,9,3,0,0,1,2,0,6.8,0.9,14,14,58
Jordan Beyer,de GER,ZG,Burnley,23,15,15,0,1,0,0,6,0,0.5,0.3,9,25,1
Philip Billing,dk DEN,LT,Bournemouth,27,29,13,2,2,0,0,3,1,2.5,3.2,22,53,63
Yves Bissouma,ml MLI,LT,Tottenham,26,28,26,0,0,0,0,10,2,1.4,0.4,43,169,13
Benicio Boaitey,eng ENG,"AT,ZG",Brighton,19,5,0,0,0,0,0,1,0,0.0,0.1,1,2,2
Oscar Bobb,no NOR,"AT,LT",Manchester City,20,14,2,1,1,0,0,0,0,1.4,1.2,13,25,38
Jayden Bogle,eng ENG,ZG,Sheffield Utd,23,34,32,3,0,0,0,9,0,2.3,1.0,38,60,92
Willy Boly,ci CIV,ZG,Nott'ham Forest,32,20,18,2,1,0,0,3,1,1.5,1.3,4,32,3
Sven Botman,nl NED,ZG,Newcastle Utd,23,17,15,2,2,0,0,2,0,0.6,1.0,0,35,5
Jarrod Bowen,eng ENG,AT,West Ham,26,34,34,16,6,0,0,2,0,11.6,5.5,90,52,186
Conor Bradley,nir NIR,ZG,Liverpool,20,11,10,1,3,0,0,2,0,0.9,1.5,35,29,64
Jarrad Branthwaite,eng ENG,ZG,Everton,21,35,35,3,0,0,0,8,0,1.7,1.0,2,74,6
Ben Brereton,cl CHI,"AT,LT",Sheffield Utd,24,14,14,6,1,1,1,3,0,6.1,1.5,23,37,78
Rhian Brewster,eng ENG,"AT,LT",Sheffield Utd,23,13,3,0,0,0,0,0,1,0.4,0.1,1,3,21
Armando Broja,al ALB,AT,Chelsea,21,13,6,1,0,0,0,0,0,2.4,0.2,11,6,37
Armando Broja,al ALB,AT,Fulham,21,8,0,0,1,0,0,0,0,0.0,0.4,2,2,7
Andre Brooks,eng ENG,"LT,ZG",Sheffield Utd,19,20,12,0,0,0,0,1,0,0.4,0.1,12,18,22
David Brooks,wls WAL,"AT,LT",Bournemouth,26,13,2,1,1,0,0,1,0,2.2,1.0,8,21,27
Jacob Brown,sct SCO,"LT,AT",Luton Town,25,19,12,2,0,0,0,4,0,2.8,0.7,25,19,53
Josh Brownhill,eng ENG,LT,Burnley,27,33,23,4,2,0,0,4,1,1.9,2.1,19,90,36
Jacob Bruun Larsen,dk DEN,"LT,AT",Burnley,24,32,16,6,0,1,1,1,0,5.0,1.5,61,38,146
