Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Rodrigo Abascal,uy URU,ZG,Boavista,29,29,29,2,0,0,0,8,0,1.4,0.6,17,83,19
Antonio Adán,es ESP,G,Sporting CP,36,22,22,0,0,0,0,1,0,0.0,0.0,0,0,0
Dennis Adeniran,eng ENG,LT,Portimonense,24,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Martin Agirregabiria,es ESP,ZG,Famalicão,27,24,13,0,0,0,0,4,0,0.1,0.6,18,52,66
Salvador Agra,pt POR,"AT,ZG",Boavista,31,31,31,3,1,0,0,7,0,2.3,3.6,60,89,174
Matheus Aiás,br BRA,"AT,LT",Moreirense,26,18,5,2,0,0,0,0,0,1.9,0.2,5,14,28
Alan,br BRA,LT,Moreirense,23,33,29,3,4,0,1,5,0,3.9,4.0,63,164,95
Rafael Alcobia,pt POR,ZG,Portimonense,20,3,2,0,0,0,0,0,0,0.0,0.1,2,4,0
Alemão,br BRA,ZG,Portimonense,20,27,27,2,0,0,0,7,0,0.7,0.4,9,43,3
Ali Alipour,ir IRN,AT,Gil Vicente FC,27,19,9,2,0,1,1,1,0,2.7,1.0,8,11,43
Almeida,br BRA,ZG,Estrela,23,7,5,0,1,0,0,1,0,0.0,0.1,2,10,1
Pedro Álvaro,pt POR,ZG,Estoril,23,20,20,0,1,0,0,6,1,0.5,1.1,2,31,4
Pedro Amador,pt POR,ZG,Moreirense,24,21,14,0,1,0,0,0,0,0.1,0.7,30,27,46
Artur Jorge Marques Amorim,pt POR,ZG,Farense,28,9,5,0,0,0,0,3,0,0.2,0.1,2,6,0
André André,pt POR,LT,Vitória,33,18,6,0,3,0,0,9,0,0.4,2.5,17,46,27
Andrew,br BRA,G,Gil Vicente FC,22,32,32,0,0,0,0,0,0,0.0,0.0,0,0,0
Jeremy Antonisse,cw CUW,AT,Moreirense,21,24,2,0,1,0,0,6,1,1.6,1.5,21,23,51
Pedro Aparício,pt POR,"LT,AT",Moreirense,27,15,2,1,0,0,0,2,0,0.9,0.5,7,20,16
Óscar Aranda,es ESP,"AT,LT",Famalicão,21,21,8,1,0,0,0,3,0,0.9,0.8,27,40,24
Henrique Araújo,pt POR,AT,Famalicão,21,20,7,0,0,0,0,1,0,1.4,0.8,6,11,32
Tiago Araújo,pt POR,"ZG,LT",Estoril,22,29,27,2,1,0,0,4,0,1.6,3.2,58,71,157
Tomás Araújo,pt POR,ZG,Benfica,21,13,5,1,0,0,0,0,0,0.4,0.3,6,25,2
Gustavo Assuncao,pt POR,LT,Famalicão,23,20,5,0,0,0,0,5,1,0.1,0.2,7,23,3
Otavio Ataide,br BRA,ZG,Famalicão,21,17,15,2,0,0,0,4,0,0.9,0.2,5,45,3
Otavio Ataide,br BRA,ZG,Porto,21,12,12,0,1,0,0,3,0,0.9,0.2,14,86,4
Fredrik Aursnes,no NOR,ZG,Benfica,27,33,31,2,7,0,0,3,1,2.6,7.1,88,161,254
Chidozie Awaziem,ng NGA,ZG,Boavista,26,24,22,0,1,0,0,7,1,1.1,0.7,5,58,4
Abdul Awudu,gh GHA,"AT,LT",Vizela,22,6,2,0,0,0,0,1,0,0.1,0.1,4,2,19
Amadou Ba-Sy,fr FRA,"AT,LT",Vizela,22,7,0,0,0,0,0,0,0,0.2,0.0,3,3,10
Alexander Bah,dk DEN,ZG,Benfica,25,19,18,2,3,0,0,3,0,1.0,2.2,27,88,111
Elves Baldé,pt POR,"AT,LT",Farense,23,28,9,1,3,0,0,0,0,2.0,1.7,32,27,73
Robson Bambu,br BRA,ZG,Arouca,25,10,10,0,0,0,0,1,0,0.0,0.0,2,16,0
Daniel Bandeira,pt POR,LT,Vitória,23,16,8,1,2,0,0,1,0,0.3,0.8,12,42,8
