Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Tammy Abraham,eng ENG,AT,Roma,25,8,2,1,0,0,0,1,0,0.6,0.1,6,4,15
Francesco Acerbi,it ITA,ZG,Inter,35,29,26,3,1,0,0,1,0,1.6,1.8,21,87,24
Yacine Adli,fr FRA,LT,Milan,23,24,17,1,2,0,0,3,0,0.3,2.2,30,125,26
Michel Aebischer,ch SUI,LT,Bologna,26,36,26,0,1,0,0,8,0,1.1,1.5,26,125,55
Lucien Agoume,fr FRA,LT,Inter,21,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Marley Aké,fr FRA,AT,Udinese,22,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Ebenezer Akinsanmiro,ng NGA,LT,Inter,18,1,0,0,0,0,0,0,0,0.0,0.0,0,2,0
Jean-Daniel Akpa-Akpro,ci CIV,LT,Monza,30,19,8,0,0,0,0,5,0,0.5,0.1,11,10,12
David Akpan Ankeye,ng NGA,AT,Genoa,21,6,0,0,0,0,0,0,0,0.0,0.0,3,1,2
Luis Alberto,es ESP,LT,Lazio,30,33,29,5,7,0,0,7,0,4.7,4.7,83,212,124
Carlos Alcaraz,ar ARG,LT,Juventus,20,10,3,0,1,0,0,0,0,0.4,0.1,6,27,9
Pontus Almqvist,se SWE,"AT,LT",Lecce,24,30,25,2,1,0,0,5,0,2.3,2.7,72,32,137
Lorenzo Amatucci,it ITA,LT,Fiorentina,19,2,0,0,0,0,0,0,0,0.0,0.0,1,2,1
Bruno Amione,ar ARG,ZG,Hellas Verona,21,10,7,0,0,0,0,2,0,0.3,0.0,2,17,2
Felipe Anderson,br BRA,"AT,LT",Lazio,30,38,33,5,6,0,0,3,0,4.4,6.3,108,126,226
Angeliño,es ESP,ZG,Roma,26,16,14,0,1,0,0,2,0,0.2,1.6,12,40,55
Houssem Aouar,dz ALG,"LT,AT",Roma,25,16,9,4,0,0,0,3,0,2.3,0.5,17,26,59
Simone Aresti,it ITA,G,Cagliari,37,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Marko Arnautović,at AUT,AT,Inter,34,27,5,5,3,0,0,0,0,5.0,2.6,12,20,77
Kristjan Asllani,al ALB,LT,Inter,21,23,6,1,2,0,0,1,0,0.6,1.1,5,32,8
Emil Audero,it ITA,G,Inter,26,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0
Tommaso Augello,it ITA,ZG,Cagliari,28,32,28,1,1,0,0,5,0,0.5,2.0,62,96,99
Carlos Augusto,br BRA,ZG,Inter,24,37,14,0,3,0,0,1,0,1.0,2.8,42,54,88
Yann Aurel Bisseck,de GER,ZG,Inter,22,16,9,2,0,0,0,0,0,0.9,0.5,24,30,20
Sardar Azmoun,ir IRN,"AT,LT",Roma,28,23,3,3,0,0,0,4,0,2.9,1.4,5,14,35
Paulo Azzi,br BRA,"ZG,LT",Cagliari,29,25,9,0,0,0,0,1,0,1.2,0.7,47,35,42
Oussama El Azzouzi,ma MAR,LT,Bologna,22,18,5,2,2,0,0,4,0,0.5,0.6,4,19,8
Milan Badelj,hr CRO,LT,Genoa,34,33,32,1,3,0,0,6,0,1.4,1.1,18,151,36
Jaime Báez,uy URU,"AT,LT",Frosinone,28,11,6,1,0,0,0,1,0,0.5,0.5,12,29,39
Nicola Bagnolini,it ITA,G,Bologna,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Nedim Bajrami,al ALB,"LT,AT",Sassuolo,24,28,15,2,2,0,0,0,0,2.5,2.2,51,49,70
Mitchel Bakker,nl NED,ZG,Atalanta,23,14,3,1,0,0,0,1,0,0.2,0.1,12,10,20
Tommaso Baldanzi,it ITA,"LT,AT",Empoli,20,14,8,2,0,0,0,1,0,2.1,1.0,20,30,40
Tommaso Baldanzi,it ITA,"AT,LT",Roma,20,13,6,0,0,0,0,2,0,0.9,0.7,18,14,54
Lameck Banda,zm ZAM,AT,Lecce,22,21,17,2,4,0,0,5,1,3.6,1.9,70,22,136
Daniel Bandeira,pt POR,LT,Hellas Verona,23,14,3,0,0,0,0,2,0,0.1,0.2,9,34,8
Mattia Bani,it ITA,ZG,Genoa,29,27,27,2,0,0,0,9,0,1.2,0.1,5,37,4
Antonín Barák,cz CZE,"LT,AT",Fiorentina,28,21,8,2,3,0,0,2,0,1.5,2.2,17,33,64
Nicolò Barella,it ITA,LT,Inter,26,37,34,2,3,0,0,7,0,5.1,3.4,68,278,144
Enzo Barrenechea,ar ARG,LT,Frosinone,22,36,32,0,1,0,0,10,0,0.6,1.7,10,155,24
Davide Bartesaghi,it ITA,"ZG,LT",Milan,17,6,0,0,0,0,0,0,0,0.0,0.0,1,3,4
Federico Baschirotto,it ITA,ZG,Lecce,26,37,37,0,1,0,0,3,1,1.7,0.7,28,96,3
